NODE_605_length_2200_cov_2.858741_3	Pfam,Pfam,TIGRFAM,Hamap	PF00333,PF03719,TIGR01021,MF_01307_B	IPR013810,IPR005324,IPR005712	Ribosomal protein S5, N-terminal domain,Ribosomal protein S5, C-terminal domain,rpsE_bact: ribosomal protein uS5,30S ribosomal protein S5 [rpsE].	GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0015935	"NA"
NODE_605_length_2200_cov_2.858741_4	Hamap,TIGRFAM,CDD,Pfam	MF_01337_B,TIGR00060,cd00432,PF00861	IPR004389,IPR005484	50S ribosomal protein L18 [rplR].,L18_bact: ribosomal protein uL18,Ribosomal_L18_L5e,Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	GO:0003735,GO:0005622,GO:0005840,GO:0006412	"NA"
NODE_605_length_2200_cov_2.858741_5	Pfam,Pfam,TIGRFAM	PF00347,PF00347,TIGR03654	IPR020040,IPR019906	Ribosomal protein L6,Ribosomal protein L6,L6_bact: ribosomal protein uL6	GO:0003735,GO:0005840,GO:0006412,GO:0019843	"NA"
NODE_6051_length_295_cov_1.179167_1	Pfam	PF00133	IPR002300	tRNA synthetases class I (I, L, M and V)	GO:0000166,GO:0004812,GO:0005524,GO:0006418	"NA"
NODE_6053_length_295_cov_0.887500_1	Pfam	PF00924	IPR006685	Mechanosensitive ion channel	GO:0016020,GO:0055085	"NA"
NODE_6055_length_295_cov_0.883333_1	Pfam	PF01978	IPR002831	Sugar-specific transcriptional regulator TrmB	"NA"	"NA"
NODE_6056_length_294_cov_2232.359833_1	Pfam	PF00963	IPR002102	Cohesin domain	GO:0000272,GO:0030246	"NA"
NODE_6058_length_294_cov_2.656904_1	Pfam	PF07486	IPR011105	Cell Wall Hydrolase	GO:0016787	"NA"
NODE_606_length_2200_cov_2.349650_1	Pfam	PF07685	IPR011698	CobB/CobQ-like glutamine amidotransferase domain	GO:0003824,GO:0009236	"NA"
NODE_606_length_2200_cov_2.349650_2	Pfam,Pfam,TIGRFAM	PF10531,PF12836,TIGR00426	IPR019554,IPR004509	SLBB domain,Helix-hairpin-helix motif,TIGR00426: competence protein ComEA helix-hairpin-helix repeat region	"NA"	"NA"
NODE_6062_length_294_cov_1.485356_1	Pfam	PF08271	IPR013137	TFIIB zinc-binding	"NA"	"NA"
NODE_6064_length_294_cov_1.481172_2	Pfam	PF01985	IPR001890	CRS1 / YhbY (CRM) domain	GO:0003723	"NA"
NODE_6065_length_294_cov_1.384937_1	Pfam	PF03486	"NA"	HI0933-like protein	"NA"	"NA"
NODE_6067_length_294_cov_1.188285_1	Pfam	PF12833	IPR018060	Helix-turn-helix domain	GO:0003700,GO:0006355,GO:0043565	"NA"
NODE_6068_length_294_cov_1.188285_1	Pfam	PF01527	IPR002514	Transposase	GO:0003677,GO:0004803,GO:0006313	"NA"
NODE_6069_length_294_cov_1.184100_1	Pfam	PF00148	IPR000510	Nitrogenase component 1 type Oxidoreductase	GO:0016491,GO:0055114	"NA"
NODE_607_length_2200_cov_2.085781_1	TIGRFAM,Pfam	TIGR04518,PF07155	IPR030949,IPR009825	ECF_S_folT_fam: ECF transporter S component, folate family,ECF-type riboflavin transporter, S component	GO:0016020	"NA"
NODE_607_length_2200_cov_2.085781_2	Pfam,Pfam	PF12837,PF02906	IPR017896,IPR004108	4Fe-4S binding domain,Iron only hydrogenase large subunit, C-terminal domain	"NA"	"NA"
NODE_6070_length_294_cov_1.184100_1	Pfam	PF01944	IPR002798	Stage II sporulation protein M	"NA"	"NA"
NODE_6072_length_294_cov_0.887029_1	Pfam,TIGRFAM	PF02580,TIGR00256	IPR003732	D-Tyr-tRNA(Tyr) deacylase,TIGR00256: D-tyrosyl-tRNA(Tyr) deacylase	GO:0002161,GO:0005737,GO:0051499	"NA"
NODE_6073_length_294_cov_0.882845_1	Pfam	PF00005	IPR003439	ABC transporter	GO:0005524,GO:0016887	"NA"
NODE_6074_length_294_cov_0.845188_1	Pfam,CDD	PF01081,cd00452	IPR000887	KDPG and KHG aldolase,KDPG_aldolase	GO:0008152,GO:0016829	KEGG:00030+4.1.2.14
